Time,AverageReward,timesteps,MaxRewardRollout,MinRewardRollout,StdRewards,Iteration
151.84613060951233,205.81074044250414,40000,209.74740689637332,202.92275892895853,1.540220360500509,10
418.3197298049927,232.75717953126266,80000,238.26284194512357,229.48641105808773,1.8635804979949253,20
708.8448643684387,327.34436786668397,120000,333.07293967917997,320.6357189128746,2.492446862262893,30
