timesteps,StdRewards,Iteration,MaxRewardRollout,AverageReward,MinRewardRollout,Time
160000,307.6869663125534,10,-584.6036924335863,-842.8713013217681,-2393.0053441202076,28.706305265426636
320000,4046.3305498712925,20,-19963.080440503265,-43003.38953642701,-46817.26380394657,55.33748459815979
