Iteration,Time,timesteps,MinRewardRollout,StdRewards,MaxRewardRollout,AverageReward
10,69.4951114654541,40000,6.353540126262281,5.408125312447195,43.158492943604045,29.618500061787387
20,195.56169843673706,80000,106.44768793611982,17.780830362204558,181.08738680358584,143.2541768228155
30,323.49216318130493,120000,131.41810987389334,17.10319900551932,220.44752521764423,162.80269197458398
40,448.5787990093231,160000,288.0215719528635,3.9017125036256908,311.14958263806,301.6537150134855
